date_flagged,target,acquirer,target_ticker,geography,deal_price,current_price,spread_pct,deal_type,source,deal_size_usd,notes,reviewed,decision
2026-07-12,Capital One Flips Millions of Discover Cards to Its Own Platform on July 27. Can It Upsell Without L,,COF,US,,,,cash,polygon_news,,https://www.fool.com/investing/2026/07/12/capital-one-flips-millions-of-discover-cards-to-it/?source=iedfolrf0000001,No,Pending
2026-07-12,3 Dividend Stocks Worth Holding for the Long Haul,,ET,US,,,,cash,polygon_news,,https://www.fool.com/investing/2026/07/12/3-dividend-stocks-worth-holding-for-the-long-haul/?source=iedfolrf0000001,No,Pending
2026-07-13,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""J.P. Morgan Called a Potential Elon Musk SpaceX-Tesla Merger """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Strategically Coherent""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",,SPCX,US,,,,cash,polygon_news,,https://www.fool.com/investing/2026/07/12/jpmorgan-called-a-potential-elon-musk-spacex-tesla/?source=iedfolrf0000001,No,Pending
2026-07-13,This Looks Like the Perfect Stock for Warren Buffett and Greg Abel to Buy Right Now,,BRK.A,US,,,,cash,polygon_news,,https://www.fool.com/investing/2026/07/12/this-looks-like-the-perfect-stock-for-warren-buffe/?source=iedfolrf0000001,No,Pending
2026-07-13,Does Vertex's Acquisition of Crinetics Pharmaceuticals Make the Stock a No-Brainer Buy?,,VRTX,US,,,,cash,polygon_news,,https://www.fool.com/investing/2026/07/13/does-vertexs-acquisition-of-crinetics-pharmaceutic/?source=iedfolrf0000001,No,Pending
2026-07-13,3 Dividend Stocks with Growth on Tap for the Second Half,,IBM,US,,,,cash,polygon_news,,https://www.investing.com/analysis/3-dividend-stocks-with-growth-on-tap-for-the-second-half-200683830,No,Pending
2026-07-14,VEON and JazzWorld Acquire TPL Insurance to Expand Digital Insurance Access Across Pakistan,,VEON,US,,,,cash,polygon_news,,https://www.globenewswire.com/news-release/2026/07/14/3326556/0/en/VEON-and-JazzWorld-Acquire-TPL-Insurance-to-Expand-Digital-Insurance-Access-Across-Pakistan.html,No,Pending
2026-07-15,Closing of Previously Announced Restructuring Transaction in Connection with CCAA Proceedings,,RY,US,,,,cash,polygon_news,,https://www.globenewswire.com/news-release/2026/07/15/3327442/0/en/Closing-of-Previously-Announced-Restructuring-Transaction-in-Connection-with-CCAA-Proceedings.html,No,Pending
2026-07-15,Zillow Group Securities Fraud Class Action Arising from Alleged Anticompetitive Agreement and Relate,,Z,US,,,,cash,polygon_news,,https://www.globenewswire.com/news-release/2026/07/15/3327440/6713/en/Zillow-Group-Securities-Fraud-Class-Action-Arising-from-Alleged-Anticompetitive-Agreement-and-Related-Regulatory-Risks-Investors-May-Contact-Lewis-Kahn-Esq-at-Kahn-Swick-Foti-LLC.html,No,Pending
2026-07-15,Cadence Design Systems vs. Synopsys: Which Technology Stock Is a Better Buy in 2026?,,CDNS,US,,,,cash,polygon_news,,https://www.fool.com/coverage/better-buy/2026/07/14/cadence-design-systems-vs-synopsys-which-technology-stock-is-a-better-buy-in-2026/?source=iedfolrf0000001,No,Pending
2026-07-16,Stripe and Advent Reportedly Bid $60.50 a Share for PayPal. Here's the Real Prize: Venmo.,,PYPL,US,,,,cash,polygon_news,,https://www.fool.com/investing/2026/07/15/stripe-and-advent-reportedly-bid-6050-a-share-for-paypal-heres-the-real-prize-venmo/?source=iedfolrf0000001,No,Pending
2026-07-16,Centerra Gold Announces Extension and Increase of its Corporate Credit Facility,,CGAU,US,,,,cash,polygon_news,,https://www.globenewswire.com/news-release/2026/07/15/3328145/0/en/Centerra-Gold-Announces-Extension-and-Increase-of-its-Corporate-Credit-Facility.html,No,Pending
2026-07-16,"GeneDx Holdings Corp. Class Action Lawsuit Seeks Recovery for Investors; August 3, 2026, Deadline - ",,WGS,US,,,,cash,polygon_news,,https://www.globenewswire.com/news-release/2026/07/15/3328177/0/en/GeneDx-Holdings-Corp-Class-Action-Lawsuit-Seeks-Recovery-for-Investors-August-3-2026-Deadline-Contact-Kessler-Topaz-Meltzer-Check-LLP.html,No,Pending
